,Longtitude,Latitude,Max Temp,Humidity,Wind Speed,Cloudiness,Country,City
321,-6.48,9.53,74.18,42,4.59,68,CI,Boundiali
322,6.97,43.56,46.4,80,4.7,0,FR,Saint-Joseph
323,21.11,54.86,33.8,93,11.18,90,RU,Polessk
324,89.46,26.13,49.03,85,2.57,0,IN,Dinhata
325,55.3,25.27,69.8,64,4.7,0,AE,Dubai
326,10.4,53.25,44.6,87,13.87,75,DE,Luneburg
327,45.65,39.72,19.4,85,4.7,20,AM,Saravan
328,-83.03,42.3,31.1,56,13.87,90,US,Windsor
329,73.17,17.6,69.19,100,5.14,0,IN,Dabhol
330,59.15,53.14,23.0,92,24.61,90,RU,Svetlogorsk
331,36.2,36.95,50.0,95,16.11,0,TR,Erzin
332,9.57,63.66,33.8,100,6.93,75,NO,Beian
333,-51.74,64.17,23.0,92,10.29,90,GL,Nuuk
334,11.87,32.95,53.26,97,17.67,68,LY,Zaltan
335,26.92,-6.05,71.03,97,2.91,56,CD,Kabalo
336,82.78,24.75,52.09,87,2.57,64,IN,Ghorawal
337,112.95,-2.54,73.78,95,4.14,48,ID,Sampit
338,133.88,-23.7,75.2,41,4.7,0,AU,Alice Springs
339,129.0,-3.31,82.73,100,8.61,20,ID,Amahai
340,-45.44,-23.68,82.4,65,13.87,40,BR,Porto Novo
341,14.96,-20.37,59.96,36,5.59,0,NA,Khorixas
342,145.57,43.32,27.88,100,22.93,12,JP,Nemuro
343,10.98,31.86,31.7,83,4.47,0,LY,Nalut
344,-99.24,30.3,58.82,47,16.11,1,US,Harper
345,125.37,41.26,4.93,66,2.13,8,CN,Huanren
346,13.53,48.64,37.4,86,18.34,75,AT,Wanning
347,22.91,61.34,19.4,92,4.7,0,FI,Vammala
348,-41.05,-21.64,84.2,62,4.7,0,BR,Sao Joao da Barra
349,5.03,61.6,37.4,93,12.75,92,NO,Floro
350,-120.46,34.64,60.98,76,3.36,90,US,Lompoc
351,100.46,38.94,4.25,65,6.15,0,CN,Zhangye
352,80.77,53.27,-2.14,72,6.71,64,RU,Bayevo
353,57.21,50.28,23.0,92,22.37,90,KZ,Aqtobe
354,20.71,41.28,2.45,68,1.23,0,MK,Poum
